transaction_id,date,location_id,product_id,quantity,unit_price_sold,gross_sales_amt,discount_amount,is_returned,return_reason
0816bdbed81a,1/9/2019,L001_WEB,P095,1,105.37,105.37,0,FALSE,
b4bc21763e5e,1/4/2019,S023,P042,4,52.71,210.84,54.4,TRUE,Allergic Reaction
9c0c300e4dd6,1/22/2019,S014,P097,1,88.62,88.62,0,FALSE,
c6cd846ff755,1/23/2019,S009,P063,1,80.51,80.51,0,FALSE,
3bef0fc8390b,1/20/2019,L001_WEB,P031,2,37.12,74.24,0,FALSE,
3ffb15b0db2a,1/18/2019,L001_WEB,P110,1,78.92,78.92,10.23,TRUE,Wrong Shade
380ea184f48a,1/27/2019,L001_WEB,P126,1,97.57,97.57,0,FALSE,
f448bfe3afb0,1/27/2019,S020,P118,2,28.87,57.74,30.66,FALSE,
ae1c0c96bd83,1/9/2019,S009,P138,2,59.61,119.22,0,FALSE,
0925f13f719b,1/19/2019,S013,P069,1,89.66,89.66,0,FALSE,
1590e9065360,1/9/2019,L001_WEB,P116,1,119.86,119.86,0,FALSE,
f7eb49d876ea,1/13/2019,S024,P087,1,22.48,22.48,0,FALSE,
1292832d18fa,1/7/2019,S019,P091,2,37.19,74.38,0,FALSE,
2817d74f8c66,1/23/2019,L001_WEB,P071,1,117.4,117.4,0,FALSE,
507bbbdc15a3,1/8/2019,L001_WEB,P105,1,73.63,73.63,0,FALSE,
f87114cc5460,1/21/2019,L001_WEB,P126,1,89.82,89.82,7.75,FALSE,
614e93b7bae6,1/8/2019,L001_WEB,P079,1,47.14,47.14,0,FALSE,
dba0f4a0175a,1/12/2019,S006,P109,5,92.6,463,0,FALSE,
31ab1f2dc779,1/15/2019,S002,P070,1,39.57,39.57,20.78,FALSE,
7df9fb5ce59f,1/24/2019,L001_WEB,P138,4,59.61,238.44,0,FALSE,
fa947846b715,1/24/2019,S009,P124,1,103.75,103.75,0,FALSE,
a2c966c7c0e4,1/20/2019,L001_WEB,P073,5,40.81,204.05,0,FALSE,
b7de0c49568a,1/12/2019,L001_WEB,P046,1,43.47,43.47,0,FALSE,
1ac0d5441afe,1/2/2019,L001_WEB,P014,1,87.34,87.34,0,FALSE,
